"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80
350	0.0216458	0.6775681	0.3872241	0.4357919	0.0000000	0.0642245	0.3447175	0.7382993	0.1372851	0.0006447	0.2794928	0.0001182	0.0100986	0.0188174	0.3942664	0.2159336	0.3596618	0.3096793	0.0001848	0.1266200	0.1381495	0.1299266	0.0896884	0.1127799	0.7359675	0.0288333	0.0102788	0.2893639	0.0229903	0.0119401	0.0996460	0.6077561	0.2084454	0.7312483	0.0485183	0.0020312	0.2903681	0.0058604	0.1819505	0.1918155	0.7693635	0.7200506	0.5375204	0.6019495	0.1859749	0.1372649	0.5267322	0.8142006	0.3807450	0.0006815	0.5762329	0.6190761	0.0423334	0.7334381	0.0618294	0.6410106	0.1619396	0.3654609	0.7165386	0.5522093	0.0161853	0.6378919	0.1371000	0.6252808	0.3412018	0.8371652	0.0396556	0.0486735	0.3224912	0.7504743	0.5384082	0.5303835	0.6563993	0.3633602	0.0834915	0.5338973	0.1200880	0.6778050	0.5445370	0.7091360
400	0.0224281	0.6618620	0.3582131	0.3737520	0.0000000	0.0765806	0.2329916	0.7035731	0.1258664	0.0004858	0.3502156	0.0003283	0.0092782	0.0094877	0.3934507	0.2599881	0.4459073	0.2336117	0.0001597	0.1544031	0.1349671	0.1033596	0.0815820	0.1308637	0.5842841	0.0083779	0.0162848	0.2430338	0.0361592	0.0189907	0.1491666	0.6242350	0.1241597	0.8337547	0.0290906	0.0014436	0.2748518	0.0027367	0.1797447	0.1495206	0.7897563	0.6531206	0.6294362	0.4840945	0.2982953	0.1470765	0.6128102	0.6646257	0.4031677	0.0003528	0.4831402	0.6968854	0.0640082	0.9268762	0.0469383	0.5654326	0.1754595	0.4552773	0.6585908	0.5769043	0.0110963	0.7591649	0.2052761	0.6410739	0.3723045	0.6784150	0.0170598	0.0296264	0.2940810	0.6060314	0.5433124	0.5194989	0.7329381	0.3676237	0.0668300	0.5303770	0.1114429	0.7701575	0.4392217	0.7593764
450	0.0097400	0.7452855	0.4162601	0.2978315	0.0000373	0.1025701	0.2551666	0.5988518	0.1059409	0.0000000	0.4000845	0.0000059	0.0063232	0.0195707	0.3595280	0.2670847	0.3197655	0.2833324	0.0001462	0.1898857	0.1157614	0.1421330	0.0816024	0.1757147	0.7076462	0.0067099	0.0210776	0.2585859	0.0165809	0.0131715	0.1825666	0.5329331	0.1354541	0.5849480	0.0417657	0.0122648	0.2434257	0.0026859	0.1808706	0.2807243	0.8548684	0.7109070	0.7183188	0.6934793	0.3273049	0.1609750	0.6111271	0.6641944	0.4168929	0.0006084	0.6121745	0.6800576	0.0250628	0.6831153	0.0488287	0.5342965	0.0766139	0.4250319	0.7343092	0.5962577	0.0092694	0.6297152	0.1829606	0.6738664	0.3875650	0.6047638	0.0108939	0.0252924	0.2408261	0.6735345	0.3266258	0.4973495	0.6001199	0.2771864	0.0799095	0.4418497	0.1214976	0.7195437	0.6184814	0.6848918
500	0.0141697	0.7697992	0.4211643	0.3759771	0.0000724	0.0850355	0.3373001	0.7166921	0.1006810	0.0003211	0.3763631	0.0000000	0.0078953	0.0298035	0.3162156	0.2951893	0.4112564	0.3125518	0.0000000	0.2181888	0.0987593	0.0952679	0.1323788	0.1809989	0.6581387	0.0090397	0.0259889	0.3046316	0.0285383	0.0093540	0.1730999	0.4865370	0.1670520	0.6973595	0.0441623	0.0000000	0.2683424	0.0075702	0.2690790	0.1275739	0.6592985	0.7136456	0.4857934	0.5094538	0.3785193	0.1565412	0.5952870	0.6765311	0.4010387	0.0021509	0.6353821	0.7479893	0.0316881	0.5987089	0.0417749	0.5338892	0.1169763	0.4907915	0.7535026	0.5756480	0.0153619	0.7217379	0.2087742	0.7308111	0.4506439	0.5942278	0.0101110	0.0323129	0.2329084	0.8171810	0.5672186	0.5557810	0.6954441	0.3107213	0.0815125	0.4102758	0.1500597	0.7304590	0.6519022	0.6698145
550	0.0442267	0.6872957	0.3816764	0.6348198	0.0181886	0.0806708	0.2888868	0.6341265	0.0969171	0.0001824	0.2822017	0.1116074	0.0061296	0.1302890	0.2707395	0.3722296	0.3952343	0.2981521	0.0193404	0.1349824	0.0904214	0.3399572	0.5236729	0.1287213	0.6694651	0.0336245	0.1671461	0.2748781	0.0162116	0.0116917	0.1909353	0.6023626	0.1490087	0.7852115	0.0592873	0.0007314	0.2135331	0.0792569	0.1675562	0.1238782	0.4960362	0.6585879	0.5044245	0.5117574	0.3079491	0.2160733	0.6493968	0.7537033	0.2900057	0.0041395	0.5810059	0.7587127	0.0968522	0.6729335	0.0592187	0.5136263	0.2917300	0.5786807	0.4536626	0.6087658	0.0731028	0.6188361	0.0626788	0.7229132	0.3528282	0.4245210	0.5429395	0.1440571	0.4738910	0.7309872	0.4687156	0.5609538	0.5029048	0.4415693	0.1684162	0.5796673	0.1070667	0.6865382	0.0465999	0.5065554
600	0.1037065	0.7352182	0.3402127	0.6477942	0.0106781	0.1124817	0.1665732	0.6886280	0.0887050	0.0002064	0.2752528	0.0961159	0.0118338	0.1993880	0.3177439	0.6070836	0.4120756	0.2216905	0.0047513	0.0900073	0.0869297	0.3874448	0.5096420	0.1736653	0.6257424	0.0397761	0.2400519	0.2428990	0.0302917	0.0164729	0.2153004	0.6198671	0.1096725	0.7082470	0.0933833	0.0015118	0.2816874	0.1071396	0.1979764	0.1179423	0.4449802	0.7821773	0.4191132	0.4116873	0.3572283	0.2108523	0.5972712	0.5642093	0.3725394	0.0000852	0.6700964	0.7660062	0.2082978	0.6853372	0.0895220	0.3788489	0.1557442	0.6621432	0.3483013	0.7224552	0.1731651	0.6359065	0.0446268	0.5720488	0.4267270	0.4870473	0.7528195	0.2458229	0.6307756	0.7223622	0.5041755	0.6201021	0.5655743	0.6438951	0.2824131	0.6967841	0.1942213	0.6900015	0.0230862	0.5559139
650	0.0861444	0.6600109	0.2753170	0.6849868	0.0284742	0.0594350	0.0850073	0.5986315	0.1012381	0.0000000	0.3195819	0.1777521	0.0144387	0.2841668	0.2973695	0.5993025	0.3829836	0.1978244	0.0274861	0.1299622	0.0751024	0.3642599	0.5816910	0.1489343	0.6967695	0.0188849	0.1789165	0.2803253	0.0245292	0.0070304	0.1283948	0.4994892	0.1150003	0.7009358	0.1141555	0.0010877	0.2477030	0.1259699	0.1721658	0.1221606	0.4295894	0.6202774	0.5760256	0.5510908	0.2675960	0.1306959	0.6608969	0.6743514	0.3356903	0.0004710	0.7575924	0.7590551	0.3165376	0.6811577	0.1444293	0.4573679	0.1219034	0.7387457	0.3518037	0.7916768	0.2131064	0.7676620	0.0238345	0.6642342	0.5232895	0.5638606	0.6244699	0.3635440	0.4820826	0.6330615	0.4714467	0.4912131	0.6621918	0.6272750	0.3611014	0.5800769	0.1922372	0.6338385	0.0170859	0.3904988
700	0.0902290	0.6109526	0.2962743	0.6277671	0.0302997	0.0466003	0.0870467	0.7269900	0.1172496	0.0006502	0.3783941	0.1624797	0.0247331	0.2617085	0.3311561	0.7638023	0.4511872	0.2357649	0.0057952	0.1521505	0.0817595	0.3791093	0.6170240	0.1447855	0.6942705	0.0457577	0.3013885	0.2805204	0.0377354	0.0152845	0.2307249	0.5830292	0.1103180	0.6495438	0.1039283	0.0009205	0.2495175	0.1483160	0.1321718	0.1374242	0.4234095	0.7932723	0.5297422	0.4760855	0.2863028	0.1474365	0.5694818	0.6622694	0.3961005	0.0086919	0.6790027	0.6987263	0.3496571	0.6030286	0.1205343	0.4030717	0.1862860	0.5921922	0.3806602	0.6695128	0.2497314	0.6372257	0.0525200	0.5903105	0.4025653	0.4449802	0.7437876	0.3251324	0.6685374	0.6244049	0.4450426	0.5586081	0.6483730	0.6516168	0.3754902	0.7163993	0.2953699	0.7136260	0.0551888	0.3924607
750	0.1002695	0.6384776	0.2985776	0.5569114	0.0119697	0.0680404	0.0829732	0.7357939	0.0469682	0.0002172	0.3335864	0.1675519	0.0096397	0.2967490	0.3208905	0.6842486	0.3223366	0.2451105	0.0231054	0.1739288	0.1052512	0.4124136	0.4841665	0.1311221	0.7855345	0.0506292	0.3270368	0.2721887	0.0264620	0.0123023	0.1544050	0.5589478	0.1413872	0.8455677	0.0899122	0.0014206	0.1653256	0.1351576	0.2143106	0.1120286	0.3693095	0.7407584	0.5144550	0.4576305	0.2752538	0.1005090	0.6902724	0.7180495	0.3915714	0.0006964	0.6821365	0.5820073	0.3375057	0.6245552	0.1734462	0.3751848	0.1637909	0.6301367	0.4561934	0.6722347	0.2085889	0.7270560	0.0414384	0.5358972	0.6071573	0.4896579	0.8117875	0.2882909	0.7627264	0.8381378	0.4290899	0.5709228	0.4918002	0.6165200	0.4258139	0.6940023	0.2564213	0.5922097	0.0400395	0.4392388
800	0.0827760	0.6735676	0.2880634	0.7470510	0.0340106	0.0420444	0.1278110	0.7861399	0.0770945	0.0018520	0.3082282	0.1657460	0.0179747	0.2459681	0.3342533	0.6136510	0.4747585	0.2555589	0.0150481	0.1425949	0.0815343	0.3765379	0.5373276	0.1298620	0.6220479	0.0438117	0.2223571	0.2887743	0.0309988	0.0180738	0.2142510	0.5796103	0.2190384	0.6357423	0.0977105	0.0027140	0.2575215	0.1333676	0.2708764	0.1285481	0.4675823	0.7654903	0.4236052	0.4957909	0.2923860	0.1778018	0.6624335	0.5376407	0.3850881	0.0220961	0.6985132	0.6505726	0.2812560	0.5847676	0.1885959	0.3148582	0.2469888	0.6473688	0.4515937	0.6272368	0.2265505	0.6896484	0.0586334	0.6541331	0.4549825	0.5362850	0.6006799	0.3934241	0.6458580	0.7025782	0.3402208	0.5298076	0.6073295	0.4850459	0.4881733	0.6795377	0.2404690	0.7208392	0.0646748	0.4688400
850	0.0659209	0.5382056	0.3261585	0.6770609	0.0223900	0.0640410	0.0555864	0.7468867	0.0520556	0.0000845	0.3437493	0.2054919	0.0257604	0.2919840	0.4178271	0.6951373	0.4059401	0.2639724	0.0142172	0.1181766	0.0883311	0.2991951	0.5975406	0.1234852	0.7303014	0.0515936	0.2536737	0.2647351	0.0680783	0.0074235	0.1943169	0.6608195	0.1801859	0.5376893	0.0731066	0.0019720	0.3041176	0.1212661	0.2015440	0.1008433	0.4205078	0.7572603	0.5123280	0.4660934	0.3329160	0.1619601	0.5977727	0.7709822	0.3863175	0.0007458	0.6081190	0.8048051	0.3378220	0.6937736	0.1260280	0.3783570	0.2043397	0.5310310	0.3054454	0.6817660	0.2634308	0.6040616	0.0511739	0.5377527	0.5427317	0.4219261	0.6254321	0.3441747	0.8339562	0.7109933	0.4498303	0.5674795	0.6806535	0.4910400	0.4201585	0.7618725	0.2556111	0.6284708	0.0291760	0.5513010
900	0.1112096	0.6738816	0.3816557	0.6261852	0.0167770	0.0953174	0.0636659	0.6764016	0.0705025	0.0009033	0.3144846	0.1905895	0.0095059	0.2600067	0.4227386	0.6017117	0.4364097	0.2424977	0.0042352	0.1446807	0.1068836	0.4155498	0.5506907	0.1056398	0.6502186	0.0598351	0.2824477	0.3241968	0.0424481	0.0123647	0.1689892	0.6542326	0.1109769	0.6799397	0.0640516	0.0004467	0.3664050	0.1222300	0.1519408	0.1794205	0.4388165	0.8279982	0.4546075	0.3534099	0.3455334	0.1151459	0.7116071	0.6975740	0.4255236	0.0011521	0.5889080	0.5670553	0.2765388	0.5710625	0.1869457	0.3405125	0.2308723	0.5287999	0.4246434	0.5889281	0.2750767	0.6661133	0.0530903	0.7987011	0.4564891	0.5136665	0.7323271	0.3275893	0.7303901	0.6638274	0.3312304	0.5729043	0.5776204	0.4797326	0.3966862	0.6964321	0.2165405	0.6111891	0.0314691	0.4133894
950	0.1360372	0.6675513	0.3728551	0.8007289	0.0266891	0.0448448	0.0882992	0.8347819	0.0624994	0.0010688	0.3239334	0.1480193	0.0219361	0.3088666	0.3744269	0.5993281	0.3499611	0.2022078	0.0222207	0.1709392	0.1289657	0.3998985	0.5258652	0.1276174	0.6911290	0.0267914	0.2465197	0.2419961	0.0320337	0.0070422	0.1640107	0.6111443	0.1181561	0.6309231	0.0869993	0.0008858	0.2447978	0.0919626	0.1540233	0.1609215	0.5049545	0.6825804	0.5793299	0.4634756	0.2457717	0.1555169	0.7007729	0.6766219	0.3355558	0.0047352	0.5691286	0.7117338	0.3046274	0.5836783	0.1749387	0.3622100	0.2857703	0.7288451	0.3579693	0.8069099	0.2483457	0.7537472	0.0457756	0.6752075	0.6241011	0.5843842	0.6294591	0.4460070	0.7411996	0.7065514	0.4118344	0.6186147	0.7206437	0.5082787	0.4234311	0.6751570	0.2586976	0.6966977	0.0339297	0.3580336
1000	0.0812811	0.6592860	0.3104639	0.6287244	0.0143016	0.0472696	0.0466756	0.7044646	0.0596005	0.0000111	0.3556086	0.2134930	0.0171677	0.3438341	0.3522267	0.6518404	0.3094861	0.2710833	0.0228237	0.1174949	0.1502153	0.4816668	0.6155201	0.1128108	0.6549830	0.0568178	0.2612551	0.2240338	0.0258197	0.0199245	0.2385387	0.6419512	0.1490744	0.6148375	0.0838272	0.0019946	0.3128275	0.0882018	0.1935076	0.1418032	0.4096072	0.6995554	0.5937901	0.4622206	0.2748909	0.1653261	0.5790320	0.5950305	0.3460982	0.0008837	0.6270171	0.7287189	0.3210712	0.6390557	0.1922836	0.3951031	0.1973559	0.6619847	0.3434745	0.5560722	0.2321965	0.6784977	0.0749311	0.6903166	0.5978023	0.5421955	0.6789903	0.3468914	0.8256063	0.7150161	0.3706953	0.6074923	0.7323377	0.6305678	0.5023546	0.7737631	0.2333028	0.7352479	0.0424064	0.4010255

0	0.0795042	0.6394007	0.3064734	0.6605883	0.0046038	0.0715264	0.0415476	0.6160772	0.0482123	0.0002824	0.3507723	0.2097515	0.0405898	0.2859551	0.4138396	0.5915247	0.4415971	0.3001811	0.0160740	0.1421870	0.1519638	0.4567591	0.5235364	0.1295159	0.7630575	0.0347187	0.3463570	0.2631149	0.0403570	0.0248840	0.1874809	0.6456798	0.2266829	0.7158960	0.0903008	0.0005746	0.3284928	0.1471250	0.2660521	0.1775891	0.3791901	0.6876990	0.4639778	0.3902140	0.2731283	0.1519256	0.5386302	0.7016882	0.3522724	0.0007822	0.6070031	0.6257425	0.3747837	0.6421897	0.2496657	0.4439117	0.2131000	0.8040766	0.3700019	0.6726806	0.2733972	0.5920973	0.0502107	0.8063221	0.6343626	0.5285666	0.7265811	0.4410719	0.6636758	0.7329833	0.5027045	0.5481744	0.7253171	0.4458726	0.5300732	0.7475885	0.3683169	0.6911946	0.0613171	0.4164059
50	0.0518068	0.7429964	0.0579525	0.5755098	0.0517513	0.0111602	0.0341675	0.7921760	0.0326249	0.0000719	0.2940017	0.1164466	0.0082819	0.3217786	0.1880399	0.7753450	0.4416973	0.1433829	0.0147165	0.1102312	0.1276447	0.4007931	0.4797179	0.0686525	0.6796710	0.0347642	0.3017881	0.1394004	0.0280805	0.0100378	0.1937752	0.7631436	0.1989970	0.7647771	0.0326906	0.0021510	0.0989724	0.1276228	0.1215210	0.0547027	0.6018390	0.3966544	0.3658978	0.5261490	0.2564311	0.1466553	0.5737754	0.7535749	0.3690714	0.0027901	0.5136262	0.6111884	0.2666133	0.8651993	0.3109943	0.4209352	0.4827097	0.7154378	0.5848965	0.5694897	0.2579152	0.5933538	0.0528850	0.7693701	0.5839531	0.5079172	0.7178063	0.3832299	0.7731438	0.4868899	0.5737006	0.4975121	0.7042477	0.7347971	0.5708716	0.8128003	0.2358643	0.6444562	0.0498297	0.4477718
100	0.1147266	0.6239684	0.0350843	0.4137640	0.0180356	0.0190341	0.0355449	0.7436818	0.0363035	0.0002752	0.3885357	0.1746487	0.0097776	0.2692770	0.2703125	0.7922733	0.4215793	0.0910134	0.0220054	0.1468933	0.0904603	0.3472220	0.7055564	0.1158074	0.6854706	0.0290022	0.2307123	0.0913481	0.0510719	0.0281112	0.1937457	0.6765956	0.0789659	0.7434614	0.0256966	0.0019242	0.0906764	0.1962420	0.1811711	0.0685670	0.5739791	0.2793497	0.2937542	0.3182079	0.2782798	0.2034651	0.5103447	0.6971637	0.2896514	0.0000742	0.2886365	0.5054093	0.3205648	0.6640410	0.2044028	0.3240029	0.6452895	0.6486911	0.6526244	0.7009360	0.2399167	0.6352323	0.0478804	0.7197391	0.5313504	0.6000469	0.7445642	0.4548948	0.7288118	0.4392704	0.4611534	0.5321725	0.6839475	0.5216424	0.7057305	0.7490245	0.2778634	0.7085938	0.0321953	0.5255232
150	0.0772014	0.6750236	0.0159964	0.5388784	0.0203051	0.0275175	0.0503622	0.7534669	0.0322806	0.0000982	0.2937652	0.1683805	0.0092988	0.3117050	0.2804685	0.7699344	0.5280951	0.1120670	0.0058280	0.1266286	0.0874144	0.3159024	0.6160244	0.1942193	0.6024655	0.0380381	0.2517869	0.0339141	0.0698296	0.0329371	0.1661041	0.5317160	0.1002173	0.6301677	0.0267133	0.0000106	0.1112600	0.1029237	0.1943525	0.1017443	0.5194857	0.2388894	0.1167510	0.3428821	0.2372422	0.1961029	0.5594824	0.6822647	0.2963232	0.0004978	0.1258038	0.5331502	0.3644083	0.6248898	0.2138037	0.3915678	0.7165602	0.6572520	0.7011294	0.5895058	0.1898839	0.8190967	0.0691649	0.5231677	0.4556569	0.4308020	0.6470050	0.3191640	0.7739777	0.3551484	0.4576417	0.5619976	0.5207327	0.5352724	0.6614300	0.7716334	0.1916228	0.6052704	0.0316036	0.4238706
200	0.0952955	0.6244052	0.0124253	0.4220258	0.0420409	0.0148542	0.1208749	0.7422627	0.0779995	0.0005010	0.2720921	0.1274556	0.0027331	0.3076194	0.3439573	0.5895821	0.4895222	0.1050295	0.0325433	0.1270125	0.1149598	0.4274217	0.6102693	0.1565337	0.6862790	0.0246764	0.3288534	0.0641630	0.0295409	0.0246723	0.1772398	0.5780036	0.0957354	0.6643287	0.0172577	0.0002459	0.0790051	0.1341353	0.1900192	0.0918717	0.5737568	0.2364395	0.0597949	0.4374308	0.2310331	0.2453614	0.4192152	0.7211178	0.2783254	0.0015636	0.1121725	0.5566989	0.3368661	0.7871568	0.1702998	0.3281498	0.7163271	0.6271086	0.6529209	0.6585351	0.2008120	0.7567464	0.0791990	0.4073765	0.5736992	0.3306661	0.7027584	0.3399283	0.6012679	0.3538686	0.4503642	0.5085797	0.4949044	0.4384203	0.6443826	0.7097613	0.1495330	0.7854958	0.0387302	0.2968047
250	0.0903437	0.6171715	0.0243042	0.5281795	0.0164910	0.0125999	0.1591403	0.7486578	0.1164050	0.0004342	0.2751865	0.1752499	0.0096534	0.2114318	0.1978510	0.8592018	0.4682582	0.0724607	0.0071424	0.0799449	0.1102776	0.2853775	0.5570972	0.0973958	0.8422225	0.0753163	0.3066318	0.0424272	0.0726862	0.0209598	0.1987818	0.4708144	0.0958157	0.6542553	0.0331936	0.0002696	0.1005632	0.1422714	0.1760946	0.0702423	0.5663225	0.2828320	0.0315628	0.3123183	0.2106787	0.1693545	0.4048446	0.6167995	0.2932720	0.0003121	0.0934056	0.5127774	0.3117182	0.6566161	0.1512386	0.4167081	0.6735353	0.7628127	0.8638579	0.6114498	0.2366092	0.7180566	0.0564517	0.6212733	0.6129795	0.4047514	0.6979649	0.3396410	0.5786404	0.3953378	0.4843448	0.4824939	0.7001080	0.4375825	0.6985002	0.5949667	0.1172233	0.7350009	0.0439599	0.3262694
300	0.0907743	0.6720153	0.0137110	0.4083148	0.0292886	0.0234272	0.1936073	0.7839329	0.1030427	0.0000000	0.2745994	0.1790279	0.0293261	0.2377847	0.2063624	0.6586464	0.3900847	0.1235596	0.0425563	0.1119255	0.0789411	0.3862146	0.6015506	0.1422855	0.6836526	0.0722352	0.1978647	0.0815064	0.0161002	0.0098347	0.1760979	0.4269834	0.1766862	0.7407722	0.0416432	0.0036855	0.0525710	0.0748716	0.1544102	0.0558961	0.5205643	0.2064955	0.0323456	0.3042717	0.1964737	0.1922532	0.3083187	0.7168603	0.2812631	0.0014235	0.0812358	0.6008783	0.3970842	0.5920674	0.1067455	0.4356460	0.6071622	0.6367708	0.6016569	0.7480226	0.2002128	0.6695644	0.0363086	0.7034048	0.5401424	0.3641516	0.7161749	0.3252304	0.5807627	0.4541461	0.4817464	0.5139274	0.5954473	0.5489878	0.6605770	0.7188592	0.1460418	0.6240244	0.0390822	0.3970606
350	0.0803180	0.6427432	0.0210196	0.5030350	0.0199987	0.0402221	0.2033951	0.8781093	0.1925550	0.0024967	0.3333852	0.1710309	0.0139677	0.2122772	0.1981528	0.7674773	0.4637281	0.1446951	0.0180163	0.0942834	0.0924782	0.3400598	0.4702472	0.1576996	0.8015958	0.0205730	0.2512383	0.0262117	0.0375108	0.0113987	0.1582563	0.3562470	0.1064947	0.7179469	0.0412324	0.0002531	0.0607195	0.1477658	0.1379505	0.0503356	0.6487439	0.1664772	0.0320015	0.3776432	0.2009669	0.2339367	0.3303355	0.6188696	0.2629554	0.0010055	0.0287391	0.5449813	0.3051684	0.7227460	0.1356952	0.4007263	0.6081480	0.6157386	0.5939823	0.6897056	0.2517931	0.6508619	0.0764239	0.6164217	0.5621739	0.4741321	0.7763141	0.4401997	0.6662051	0.3506411	0.3727118	0.5220666	0.6687852	0.4296060	0.7699316	0.7598826	0.1857588	0.6603208	0.0223984	0.4925167
400	0.1092837	0.6684090	0.0437148	0.4711902	0.0249511	0.0267635	0.2116505	0.6820092	0.1225970	0.0014817	0.2549283	0.1428954	0.0154576	0.2762715	0.2208979	0.7433273	0.4313837	0.1717573	0.0133491	0.1539802	0.0997617	0.3607129	0.5477372	0.1411111	0.7095264	0.0346082	0.2659802	0.1066348	0.0629501	0.0046226	0.1981710	0.3501576	0.0822120	0.6899082	0.0322269	0.0009156	0.0578919	0.1266168	0.1762681	0.0907909	0.6063994	0.2099745	0.0132994	0.3046369	0.2044907	0.1288597	0.3790973	0.9502052	0.2667829	0.0073393	0.0447946	0.5583175	0.2908062	0.7134398	0.1620975	0.4048050	0.7148277	0.5723650	0.7375604	0.6833734	0.1818334	0.6612648	0.0364890	0.6358617	0.4725064	0.4237174	0.6696255	0.3360865	0.6373107	0.3851282	0.4833736	0.5447993	0.5897981	0.4828568	0.7876430	0.6796367	0.1740503	0.7578519	0.0389677	0.3789390
450	0.1100826	0.7976849	0.0521955	0.4783669	0.0219816	0.0150548	0.1823190	0.6667492	0.0734831	0.0004839	0.3914743	0.1641561	0.0153259	0.2637665	0.1662837	0.6539603	0.4309136	0.1021166	0.0133785	0.0863031	0.0921289	0.3252104	0.6298752	0.1102230	0.6904990	0.0347708	0.2703881	0.0532902	0.0202989	0.0241234	0.2642973	0.3407181	0.1012210	0.5668544	0.0327152	0.0000000	0.0477660	0.1387236	0.1074055	0.0637578	0.6229674	0.1218355	0.0613056	0.2989335	0.1563521	0.2472577	0.3106439	0.6362089	0.2895363	0.0058425	0.0167092	0.6213514	0.2342276	0.8113494	0.1681188	0.4310906	0.7426054	0.6652534	0.5600916	0.7805551	0.2365129	0.7242325	0.0428544	0.4639396	0.5297984	0.4869779	0.8671239	0.3344500	0.7424452	0.3721558	0.3934408	0.4731922	0.6024291	0.4355856	0.6613031	0.6681229	0.1602177	0.6920482	0.0289376	0.3959269
500	0.0855264	0.6310785	0.0205173	0.4702990	0.0394641	0.0176614	0.1213668	0.7212105	0.1321109	0.0007328	0.3183752	0.1609275	0.0075306	0.2961078	0.2259574	0.7096368	0.4403440	0.1243907	0.0081953	0.0945750	0.0952139	0.3254362	0.5698585	0.0918073	0.6276668	0.0283949	0.3548529	0.0315869	0.0218928	0.0066361	0.1600802	0.3058245	0.1203140	0.6341725	0.0180677	0.0131648	0.0496242	0.1218135	0.1411286	0.1162111	0.5738425	0.1236451	0.0169168	0.2935613	0.2200164	0.2269369	0.4562399	0.6624452	0.2205942	0.0000000	0.0228814	0.4441517	0.2778877	0.7098616	0.1365617	0.3963335	0.7744991	0.6367110	0.5992366	0.7219684	0.3208026	0.6678402	0.0250259	0.5719226	0.6582118	0.3806395	0.7986726	0.3661507	0.6080623	0.3155475	0.4518750	0.4784663	0.5369129	0.3743585	0.7507284	0.6593358	0.1229074	0.7103981	0.0194562	0.2742408
550	0.0780254	0.6526301	0.2561212	0.5868413	0.0267991	0.0427022	0.1509464	0.7545091	0.1487618	0.0026781	0.3833732	0.1590828	0.0213604	0.1993153	0.2867207	0.6753345	0.4339155	0.1490591	0.0178620	0.1496822	0.0520477	0.3583262	0.5295262	0.0572141	0.7631191	0.0271052	0.2757951	0.1847473	0.0394798	0.0241144	0.1218060	0.4335792	0.1696151	0.5795616	0.1107754	0.0018892	0.2097250	0.0863641	0.1464209	0.0471904	0.3603193	0.4433832	0.0156970	0.3898486	0.2477666	0.3151270	0.3562777	0.7047121	0.2581027	0.0023828	0.1023385	0.5309267	0.3593021	0.7723465	0.1016362	0.3682719	0.6086968	0.7593174	0.3823761	0.7520102	0.2820885	0.5588885	0.0202719	0.5107974	0.4978350	0.4161400	0.7691216	0.3613614	0.7215925	0.6171474	0.4246004	0.5588332	0.5420026	0.5057247	0.6249610	0.6106718	0.1116576	0.6060140	0.0514032	0.3328413
600	0.1069585	0.7672566	0.3029653	0.7825137	0.0359229	0.0559106	0.0980102	0.6965089	0.0988872	0.0024885	0.3199259	0.1494254	0.0163462	0.3085783	0.3400540	0.5934576	0.3428857	0.2677112	0.0306466	0.1285520	0.0887663	0.3602866	0.6496799	0.1393090	0.6177307	0.0566884	0.3926956	0.1796210	0.0287013	0.0234512	0.1356741	0.5830140	0.1659181	0.6332900	0.0869898	0.0000000	0.2308249	0.1076765	0.2134079	0.1180481	0.3217414	0.7167905	0.0683061	0.3692839	0.2565422	0.1844762	0.5513870	0.7101556	0.2708591	0.0010207	0.3036091	0.7944543	0.4000773	0.7262330	0.1782766	0.4744217	0.3058852	0.6063617	0.3730552	0.7743205	0.2262214	0.5909729	0.0496411	0.6141327	0.5855970	0.3863327	0.7756946	0.4034347	0.5784661	0.6651050	0.4006188	0.6126380	0.6538206	0.3964736	0.5103916	0.6586318	0.2094176	0.6793419	0.0735454	0.2247964
650	0.0657534	0.5900836	0.2834892	0.6620631	0.0367276	0.0413977	0.0776778	0.6563691	0.0866647	0.0001609	0.3078625	0.1751542	0.0167709	0.1951962	0.3215280	0.6805328	0.3133070	0.2702257	0.0161363	0.0858428	0.1046047	0.2923012	0.5789927	0.1420956	0.6470800	0.0240802	0.2296029	0.1952413	0.0222488	0.0023984	0.1846808	0.4703609	0.1655698	0.6796817	0.1360895	0.0018085	0.1825295	0.0845491	0.1608005	0.1997734	0.3547716	0.7192203	0.3226561	0.4092481	0.2186000	0.1563188	0.5765270	0.6375830	0.3477481	0.0009137	0.5049518	0.7340602	0.3629731	0.7120745	0.1607467	0.3648725	0.2377261	0.4840813	0.3345595	0.7436231	0.2819812	0.6198625	0.0409551	0.7136955	0.6251554	0.5035948	0.6726108	0.4490695	0.6905384	0.5329756	0.3693751	0.4735373	0.5980783	0.4515895	0.4570459	0.6297254	0.2483474	0.6584615	0.0894222	0.3619827
