"Old"	"New"
G1500	YGL103W
G1501	YKR013W
G1502	YCR018C
G1503	YAR007C
G1504	YKR087C
G1505	YNL240C
G1506	YMR065W
G1507	YBR114W
G1508	YNR081W
G1509	YGL160W
G1510	YOR077W
G1511	YNL289W
G1512	YPR068C
G1513	YCR098C
G1514	YKR011C
G1515	YJL098W
G1516	YGR296W
G1517	YKR061W
G1518	YOR073W
G1519	YPR167C
G1520	YCL012W
G1521	YML058WA
G1522	YPL272C
G1523	YEL076CA
G1524	YDR351W
G1525	YOR303W
G1526	YIL011W
G1527	YGL254W
G1528	YHL016C
G1529	YNR076W
G1530	YLR401C
G1531	YAL064CA
G1532	YLR092W
G1533	YBR255W
G1534	YNL213C
G1535	YER141W
G1536	YIR018CA
G1537	YOR065W
G1538	YIL125W
G1539	YHR018C
G1540	YPL113C
G1541	YJR078W
G1542	YHR206W
G1543	YDR402C
G1544	YPL277C
G1545	YDR034C
G1546	YDR240C
G1547	YNL212W
G1548	YNL092W
G1549	YJR122W
G1550	YOR257W
G1551	YBL099W
G1552	YNL102W
G1553	YLR121C
G1554	YOR207C
G1555	YDR527W
G1556	YNL261W
G1557	YNL268W
G1558	YML057W
G1559	YFL039C
G1560	YNL115C
G1561	YER090W
G1562	YLL054C
G1563	YDR010C
G1564	YPR161C
G1565	YHL046C
G1566	YMR089C
G1567	YDR322CA
G1568	YER034W
G1569	YJR018W
G1570	YNL071W
G1571	YHR004C
G1572	YMR151W
G1573	YBR299W
G1574	YGR039W
G1575	YPR020W
G1576	YMR081C
G1577	YJL192C
G1578	YBL109W
G1579	YBR190W
G1580	YBR162WA
G1581	YJR010W
G1582	YDR418W
G1583	YMR241W
G1584	YEL075C
G1585	YHR001WA
G1586	YEL056W
G1587	YPR067W
G1588	YDL242W
G1589	YOR120W
G1590	YJL191W
G1591	YGR251W
G1592	YDR283C
G1593	YNL054WA
G1594	YJR121W
G1595	YNR054C
G1596	YDR526C
G1597	YGR173W
G1598	YPL156C
G1599	YDL060W
G1600	YIL116W
